,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
529,1,0,4.0,827,0,19,1181,500.0,1914
530,1,0,4.0,256,3,58,254,500.0,1914
531,1,0,3.9,40,3,39,355,400.0,1914
532,1,0,3.9,73,3,68,1249,400.0,1914
533,1,0,4.2,169,26,12,288,600.0,1914
534,1,0,4.1,586,26,19,452,700.0,1914
535,1,0,3.5,221,0,66,876,400.0,1914
536,1,0,3.5,177,0,58,156,500.0,1914
537,1,0,3.9,347,26,19,493,600.0,1914
538,1,0,3.0,347,3,58,1167,800.0,1167
539,1,0,3.9,385,26,58,1169,600.0,1914
540,1,0,4.0,1305,26,19,505,750.0,1914
541,1,0,3.0,122,3,19,493,500.0,1914
542,1,0,4.3,539,26,58,499,300.0,1914
543,1,1,3.9,681,3,19,1006,800.0,1914
544,1,0,3.8,106,26,28,240,350.0,1914
545,1,1,4.1,1025,3,19,903,1000.0,1914
546,1,0,3.6,132,3,11,1310,250.0,1914
